,Application Year,Lens ID,Inventor
0,2020,197-733-628-711-768,Hamm Svetlana
1,2020,197-733-628-711-768,Hermann Frank
2,2020,023-616-950-865-48X,Poh Ashleigh Ren-Yi
3,2020,023-616-950-865-48X,Ernst Matthias Robert Walter
4,2019,094-569-953-648-612,Liao Cheng
5,2019,094-569-953-648-612,Huang Xiaoxing
6,2019,094-569-953-648-612,Jiang Jiahua
7,2019,094-569-953-648-612,Lianshan Zhang
8,2019,094-569-953-648-612,Sun Piao-Yang
9,2019,094-569-953-648-612,Changyong Yang
10,2019,094-569-953-648-612,Zhang Lan
11,2019,143-969-408-220-424,Jiang Jiahua
12,2019,143-969-408-220-424,Lianshan Zhang
13,2019,143-969-408-220-424,Liao Cheng
14,2019,143-969-408-220-424,Zhang Lan
15,2019,194-887-353-832-386,Schumacher Antonius Nicolaas Maria
16,2019,194-887-353-832-386,Kölzer Viktor Hendrik
17,2019,194-887-353-832-386,Thommen Daniela Stefanie
18,2019,194-887-353-832-386,Zippelius Alfred Karl Josef
19,2019,194-887-353-832-386,Mertz Kirsten Diana
20,2020,048-687-952-766-173,Yu Hongjing
21,2020,048-687-952-766-173,Wen Bin
22,2020,048-687-952-766-173,Sun Ningyun
23,2020,048-687-952-766-173,Liang Xi
24,2020,048-687-952-766-173,Yin Peijun
25,2020,048-687-952-766-173,Xu Xiaofen
26,2020,119-707-519-691-958,Gao Yuan
27,2020,119-707-519-691-958,Yu Hongjing
28,2020,119-707-519-691-958,Wen Bin
29,2020,119-707-519-691-958,Sun Ningyun
30,2020,119-707-519-691-958,Liang Xi
31,2020,119-707-519-691-958,Xu Xiaofen
32,2020,149-016-712-581-254,Liao Cheng
33,2020,149-016-712-581-254,Huang Xiaoxing
34,2020,149-016-712-581-254,Lianshan Zhang
35,2020,149-016-712-581-254,Sun Piao-Yang
36,2020,149-016-712-581-254,Lin Kan
37,2020,149-016-712-581-254,Zhang Lan
38,2020,020-234-034-382-965,Gillings Mireille
39,2020,020-234-034-382-965,Bissonnette Reid
40,2019,193-296-399-826-79X,Bartz René
41,2019,193-296-399-826-79X,Hermann Frank
42,2017,186-328-359-013-188,Zhang Penglie
43,2017,186-328-359-013-188,Schall Thomas J
44,2017,186-328-359-013-188,Charo Israel
45,2017,186-328-359-013-188,Jung Hei-Youn
46,2020,091-135-388-662-800,Yu Hongjing
47,2020,091-135-388-662-800,Wen Bin
48,2020,091-135-388-662-800,Sun Ningyun
49,2020,091-135-388-662-800,Liang Xi
50,2020,091-135-388-662-800,Yin Peijun
51,2020,091-135-388-662-800,Xu Xiaofen
52,2020,168-324-458-691-100,Su Wenjing
53,2020,168-324-458-691-100,Yang Guangli
54,2020,168-324-458-691-100,Ouerfelli Ouathek
55,2020,168-324-458-691-100,Scher Howard
56,2020,168-324-458-691-100,Marzabadi Mohammad
57,2020,168-324-458-691-100,Giancotti Filippo
58,2017,101-736-286-883-834,Bissonnette Reid P
59,2017,101-736-286-883-834,Rolland Alain
60,2017,101-736-286-883-834,Gillings Mireille
61,2022,054-749-252-162-457,Zhao Wei
62,2022,054-749-252-162-457,Zhang Yu
63,2022,054-749-252-162-457,Long Jianglan
64,2022,054-749-252-162-457,Yan Dan
65,2022,054-749-252-162-457,Cao Bangwei
66,2022,054-749-252-162-457,Wang Aiting
67,2020,105-903-923-252-519,Filbert Erin L
68,2020,105-903-923-252-519,Yang Xiaodong
69,2020,105-903-923-252-519,Björck Pia
70,2023,028-840-280-372-042,Zhao Wei
71,2023,028-840-280-372-042,Zhang Yu
72,2023,028-840-280-372-042,Long Jianglan
73,2023,028-840-280-372-042,Yan Dan
74,2023,028-840-280-372-042,Cao Bangwei
75,2023,028-840-280-372-042,Wang Aiting
76,2015,140-905-263-458-164,Rothbaum Wayne
77,2015,140-905-263-458-164,Ulrich Roger
78,2015,140-905-263-458-164,Barf Tjeerd
79,2015,140-905-263-458-164,Kaptein Allard
80,2015,140-905-263-458-164,Johnson Dave
81,2015,140-905-263-458-164,Izumi Raquel
82,2015,140-905-263-458-164,Lannutti Brian
83,2015,140-905-263-458-164,Covey Todd
84,2015,140-905-263-458-164,Hamdy Ahmed
85,2016,099-972-495-487-55X,Rothbaum Wayne
86,2016,099-972-495-487-55X,Ulrich Roger
87,2016,099-972-495-487-55X,Barf Tjeerd
88,2016,099-972-495-487-55X,Kaptein Allard
89,2016,099-972-495-487-55X,Johnson Dave
90,2016,099-972-495-487-55X,Izumi Raquel
91,2016,099-972-495-487-55X,Lannutti Brian
92,2016,099-972-495-487-55X,Covey Todd
93,2016,099-972-495-487-55X,Hamdy Ahmed
94,2023,084-654-388-882-687,De Achaval Sofia
95,2023,084-654-388-882-687,Alibhai Imran
96,2023,084-654-388-882-687,Gyuris Jeno
97,2017,159-022-558-374-68X,Bissonnette Reid P
98,2017,159-022-558-374-68X,Rolland Alain
99,2017,159-022-558-374-68X,Gillings Mireille
100,2021,104-169-688-287-294,Li Jian
